101 Dalmatians | 101 dalmatians | m.018gq3 | film.film.story_by | m.018k1r | Dodie Smith | Who wrote the 1956 novel ‘101 Dalmatians’? | Dodie Smith
Mr Deeds | mr. deeds | m.02tgz4 | film.film.executive_produced_by | m.0pz91 | Adam Sandler | Who plays the title role in the 2002 film `Mr Deeds`? | Adam Sandler
Mr Hyde | strange case of dr jekyll and mr hyde | m.01fsq_ | book.written_work.author | m.06lbp | Robert Louis Stevenson | Who wrote `The Strange Case of Dr Jeckyll and Mr Hyde`? | Robert Louis Stevenson
Mr Hyde | strange case of dr jekyll and mr hyde | m.04t_8q5 | book.book_edition.author_editor | m.06lbp | Robert Louis Stevenson | Who wrote `The Strange Case of Dr Jeckyll and Mr Hyde`? | Robert Louis Stevenson
mri | mri | m.04xkp | base.skosbase.vocabulary_equivalent_topic.equivalent_concept | m.0bp0_tz | Magnetic Resonance Imaging | In medicine what does MRI stand for? | Magnetic Resonance Imaging
Mr Kiss Kiss Bang Bang | thunderball | m.01pc0g | book.book.characters | m.0clpml | James Bond | In Italian translation who is Mr Kiss Kiss Bang Bang | James Bond
Mr Kiss Kiss Bang Bang | thunderball | m.01pc0g | fictional_universe.work_of_fiction.part_of_these_fictional_universes | m.0hprtpp | James Bond | In Italian translation who is Mr Kiss Kiss Bang Bang | James Bond
Mr Men | mr. men | m.06rgcky | book.written_work.author | m.02rsf_ | Roger Hargreaves | Who wrote the children’s series of ‘Mr Men’ books? | Roger Hargreaves
Mr Personality | mr. personality | m.01lb4lq | music.album.artist | m.01lb4pz | Lloyd Price | Who was known as Mr Personality? | Lloyd Price
Mr Tambourine Man | mr. tambourine man | m.02sqg5 | music.composition.composer | m.01vrncs | Bob Dylan | Who wrote the song `Mr Tambourine Man` which was a hit for the band The Byrds? | Bob Dylan
Mr Tambourine Man | mr. tambourine man | m.02sqg5 | music.composition.lyricist | m.01vrncs | Bob Dylan | Who wrote the song `Mr Tambourine Man` which was a hit for the band The Byrds? | Bob Dylan
Mr Tambourine Man | mr. tambourine man | m.04d5v5h | music.album.artist | m.0p8h0 | The Byrds | Which group had a hit with Mr Tambourine Man | The Byrds
Mr Tambourine Man | mr. tambourine man | m.0dq05v_ | music.album.artist | m.01vrncs | Bob Dylan | Who wrote the song `Mr Tambourine Man` which was a hit for the band The Byrds? | Bob Dylan
Mr Tambourine Man | mr. tambourine man | m.0dwzcdt | music.recording.artist | m.0p8h0 | The Byrds | Which group had a hit with Mr Tambourine Man | The Byrds
Mr Tambourine Man | mr. tambourine man | m.0l8sn0v | music.release_track.release | m.035c4mg | The Byrds | Which group had a hit with Mr Tambourine Man | The Byrds
Mr Tambourine Man | mr. tambourine man | m.0lhwc9 | music.recording.releases | m.0dqgsbk | Bob Dylan | Who wrote the song `Mr Tambourine Man` which was a hit for the band The Byrds? | Bob Dylan
Mr Tambourine Man | mr. tambourine man | m.0m44mg | music.recording.artist | m.01vrncs | Bob Dylan | Who wrote the song `Mr Tambourine Man` which was a hit for the band The Byrds? | Bob Dylan
Mr Tambourine Man | mr. tambourine man | m.0mc2ql0 | music.release_track.release | m.0dqgsbk | Bob Dylan | Who wrote the song `Mr Tambourine Man` which was a hit for the band The Byrds? | Bob Dylan
Mr Tambourine Man | mr. tambourine man | m.0w2rpj | music.recording.releases | m.035c4mg | The Byrds | Which group had a hit with Mr Tambourine Man | The Byrds
Mr Tod | the tale of mr. tod | m.04vhjqt | book.book_edition.author_editor | m.01fm2 | Beatrix Potter | Which writer created Tabitha Twitchet, Babbity Bumble, Mr Tod | Beatrix Potter
Mr Tod | the tale of mr. tod | m.0c52nk | book.written_work.author | m.01fm2 | Beatrix Potter | Which writer created Tabitha Twitchet, Babbity Bumble, Mr Tod | Beatrix Potter
Mstislav Rostropovich | mstislav rostropovich | m.0149xx | music.group_member.instruments_played | m.01xqw | Cello | Mstislav Rostropovich was a maestro on what instrument | Cello
MTV | mtv | m.04rqd | media_common.netflix_genre.titles | m.01vdhcc | Beavis and Butthead | Created by Mike Judge, which cartoon characters first appeared on MTV in 1993? | Beavis and Butthead
MTV | mtv | m.0y5136h | broadcast.broadcast.content | m.01vdhcc | Beavis and Butthead | Created by Mike Judge, which cartoon characters first appeared on MTV in 1993? | Beavis and Butthead
Much Ado About Nothing | much ado about nothing | m.05gv03 | film.film.directed_by | m.0prjs | Kenneth Branagh | Who directed the 1993 film ‘Much Ado About Nothing’? | Kenneth Branagh
Much Ado About Nothing | much ado about nothing | m.05gv03 | film.film.produced_by | m.0prjs | Kenneth Branagh | Who directed the 1993 film ‘Much Ado About Nothing’? | Kenneth Branagh
Much Ado About Nothing | much ado about nothing | m.05gv03 | film.film.written_by | m.0prjs | Kenneth Branagh | Who directed the 1993 film ‘Much Ado About Nothing’? | Kenneth Branagh
Much Ado About Nothing | much ado about nothing | m.05gv03 | media_common.netflix_title.netflix_genres | m.0gw5nxs | Comedies | What would William Shakespeares plays `Twelfth Night` and `Much Ado About Nothing` be classed as? Comedies, Histories or Tragedies? | Comedies
Much Ado About Nothing | much ado about nothing | m.0g1qy | book.book.characters | m.0bnpfc3 | Claudio | Who is the lover of Hero in Much Ado About Nothing? | Claudio
Much Ado About Nothing | much ado about nothing | m.0g1qy | book.book.characters | m.0gxbc75 | Hero | Who is Claudios lover in Much Ado About Nothing? | Hero
Much Ado About Nothing | much ado about nothing | m.0g1qy | book.book.characters | m.0h2lcx_ | Benedick | In Shakespeare’s ‘Much Ado About Nothing’ who does Beatrice agree to marry in the end? | Benedick
Much Ado About Nothing | much ado about nothing | m.0g1qy | theater.play.characters | m.0bnpfc3 | Claudio | Who is the lover of Hero in Much Ado About Nothing? | Claudio
Much Ado About Nothing | much ado about nothing | m.0g1qy | theater.play.characters | m.0gxbc75 | Hero | Who is Claudios lover in Much Ado About Nothing? | Hero
Much Ado About Nothing | much ado about nothing | m.0g1qy | theater.play.characters | m.0h2lcx_ | Benedick | In Shakespeare’s ‘Much Ado About Nothing’ who does Beatrice agree to marry in the end? | Benedick
Much Ado About Nothing | much ado about nothing | m.0y8q5qx | music.release.track_list | m.0y8qd1n | Hero | Who is Claudios lover in Much Ado About Nothing? | Hero
Mud | mud | m.01ltqpy | music.artist.album | m.0x1jbg2 | Rocket | Def Leppard and Mud both had hit singles with what same name? | Rocket
Mud | mud | m.01ltqpy | music.artist.track | m.0spp0p3 | Rocket | Def Leppard and Mud both had hit singles with what same name? | Rocket
Mulan | hua mulan | m.09v71k9 | film.film.country | m.0d05w3 | China | Mulan is set in which country? | China
Mulan | hua mulan | m.09v71k9 | media_common.netflix_title.netflix_genres | m.0d05w3 | China | Mulan is set in which country? | China
Mulholland Drive | mulholland drive | m.0571m | film.film.featured_film_locations | m.030qb3t | Los Angeles | In which city is the 2001 film `Mulholland Drive` set? | Los Angeles
Mulholland Dr | mulholland drive | m.0571m | film.film.directed_by | m.026dx | David Lynch | Who directed the 2001 film `Mulholland Dr.`? | David Lynch
Mulholland Dr | mulholland drive | m.0571m | film.film.written_by | m.026dx | David Lynch | Who directed the 2001 film `Mulholland Dr.`? | David Lynch
Mungo National Park | mungo national park | m.0pppx | location.location.containedby | m.05fly | New South Wales | Mungo National Park is in which Australian state? | New South Wales
Muppet Show | the muppet show | m.0b005 | tv.tv_program.episodes | m.06y9kwq | Rudolf Nureyev | Which ballet personality once appeared on The Muppet Show? | Rudolf Nureyev
muppets | the muppets | m.03b78r | influence.influence_node.influenced_by | m.044f7 | Jim Henson | Who created the muppets? | Jim Henson
muppets | the muppets | m.044f7 | common.topic.image | m.02dt8hy | Jim Henson | Who created the muppets? | Jim Henson
Muppets | the muppets | m.044f7 | fictional_universe.fictional_character_creator.fictional_characters_created | m.012fvc | Fozzie | What is the name of the bear in the television series ‘The Muppets’? | Fozzie
muppets | the muppets | m.0ds5_72 | film.film.story_by | m.044f7 | Jim Henson | Who created the muppets? | Jim Henson
muppets | the muppets | m.0j9l_pp | music.album.artist | m.05335 | Jim Henson | Who created the muppets? | Jim Henson
Muppet | the muppets | m.044f7 | fictional_universe.fictional_character_creator.fictional_characters_created | m.01hvnh | Grover | Which Muppet from the television series shares a name with a former US President? | Grover
Murcia | murcia | m.0g83j | location.location.containedby | m.06mkj | Spain | Asturias, Aragon and Murcia are regions in which European country? | Spain
murder in the calais coach | murder in the calais coach | m.015m8_ | book.book.editions | m.04tsy2b | Murder on the Orient Express | What books original title was Murder in the Calais Coach | Murder on the Orient Express
murder in the calais coach | murder in the calais coach | m.015m8_ | media_common.adapted_work.adaptations | m.0c_jgm | Murder on the Orient Express | What books original title was Murder in the Calais Coach | Murder on the Orient Express
murder in the calais coach | murder in the calais coach | m.0c7bk93 | book.book_edition.book | m.015m8_ | Murder on the Orient Express | What books original title was Murder in the Calais Coach | Murder on the Orient Express
Musee d ` Orsay | musée d'orsay | m.07vd0q | location.location.containedby | m.05qtj | Paris | The Musee d ‘Orsay lies in which European city? | Paris
Musee d ` Orsay | musée d'orsay | m.0f3b9 | organization.organization.place_founded | m.05qtj | Paris | The Musee d ‘Orsay lies in which European city? | Paris
Musee d ` Orsay | musée d'orsay | m.0f3b9 | travel.tourist_attraction.near_travel_destination | m.05qtj | Paris | The Musee d ‘Orsay lies in which European city? | Paris
musical | musical theatre | m.0557q | theater.theater_genre.plays_in_this_genre | m.0129v | A Little Night Music | The song ‘Send in the Clowns’ is from which musical? | A Little Night Music
musical | musical theatre | m.0557q | theater.theater_genre.plays_in_this_genre | m.016ghh | South Pacific | The songs ‘There is Nothing Like a Dame’ and ‘Happy Talk’ are from which musical? | South Pacific
musical | musical theatre | m.0557q | theater.theater_genre.plays_in_this_genre | m.01fh1_ | Cats | Cassandra, Grizabella and Skimbleshanks are all characters in which Andrew Lloyd Webber musical? | Cats
musical | musical theatre | m.0557q | theater.theater_genre.plays_in_this_genre | m.0216fg | No, No, Nanette | The song ‘Tea For Two’ is from which 1925 musical? | No, No, Nanette
musical | musical theatre | m.0557q | theater.theater_genre.plays_in_this_genre | m.02z49z | Me and My Girl | The song ‘Lambeth Walk’ is from which musical? | Me and My Girl
musical | musical theatre | m.0557q | theater.theater_genre.plays_in_this_genre | m.04t29 | My Fair Lady | George Bernard Shaw`s play `Pygmalion` was adapted to become which musical? | My Fair Lady
musical | musical theatre | m.0557q | theater.theater_genre.plays_in_this_genre | m.085xh | West Side Story | The Bernstein and Sondheim song ‘Somewhere’ was written for which musical? | West Side Story
musical score | film score | m.017_qw | music.genre.artists | m.0150t6 | Hans Zimmer | Who created the musical score for the Lion King? | Hans Zimmer
musical show | musical theatre | m.0557q | theater.theater_genre.plays_in_this_genre | m.0244z | Carousel | You'll Never Walk Alone came from which 1945 musical show | Carousel
musical show | musical theatre | m.0557q | theater.theater_genre.plays_in_this_genre | m.0p4s9 | The Music Man | The song ‘Seventy Six Trombones’ is from which musical show? | The Music Man
musical stage | musical theatre | m.0557q | theater.theater_genre.plays_in_this_genre | m.03kdfv | Kismet | Which musical stage show ( and film ) uses tunes by Borodin | Kismet
musical stage | musical theatre | m.0557q | theater.theater_genre.plays_in_this_genre | m.0ht44 | Hair | Galt MacDermot wrote what 1967 musical stage show | Hair
Music Baby | love. angel. music. baby. | m.01n9zh9 | music.album.artist | m.016fnb | Gwen Stefani | Love, Angle, Music Baby is an album released by whom? | Gwen Stefani
Music Box | music box | m.03bk3gq | music.release.producers | m.04xrx | Mariah Carey | Which singer released a 1993 album entitled ‘Music Box’? | Mariah Carey
Music Box | music box | m.067xvn | music.album.artist | m.04xrx | Mariah Carey | Which singer released a 1993 album entitled ‘Music Box’? | Mariah Carey
Music Box | music box | m.0m1nw3 | music.recording.artist | m.04xrx | Mariah Carey | Which singer released a 1993 album entitled ‘Music Box’? | Mariah Carey
Music Box | music box | m.0mj6ft | music.recording.producer | m.04xrx | Mariah Carey | Which singer released a 1993 album entitled ‘Music Box’? | Mariah Carey
Music Box | music box | m.0_mmh49 | music.composition.composer | m.04xrx | Mariah Carey | Which singer released a 1993 album entitled ‘Music Box’? | Mariah Carey
Music Box | music box | m.0_mmh49 | music.composition.lyricist | m.04xrx | Mariah Carey | Which singer released a 1993 album entitled ‘Music Box’? | Mariah Carey
music hall | music hall | m.01hv1j | music.genre.artists | m.03yz32h | George Robey | Which music hall entertainer was known as the `Prime Minister Of Mirth`? | George Robey
musician | musician | m.09jwl | people.profession.people_with_this_profession | m.01ps2h8 | Viggo Mortensen | Which `Lord Of The Rings` star is also an accomplished poet, artist, photographer and jazz musician? | Viggo Mortensen
musician | musician | m.09jwl | people.profession.people_with_this_profession | m.01vvpjj | Enya | Which Irish musician released a 1988 album entitled ‘Watermark’? | Enya
musician | musician | m.09jwl | people.profession.people_with_this_profession | m.01ydzx | Paul Weller | Which British singer and musician is known as ‘The Modfather’? | Paul Weller
musician | musician | m.09jwl | people.profession.specializations | m.09lbv | Drums | US rock musician Carmine Appice is famous for playing which instrument? | Drums
music | music | m.04rlf | book.book_subject.works | m.04wfd7g | David Bowie | In music, who has sometimes been called the `thin white duke`? | David Bowie
music | music | m.04rlf | film.film_genre.films_in_this_genre | m.04lj9pv | 4 | In music, how many semi-quavers are in a crotchet? | 4
music | music | m.04rlf | film.film_genre.films_in_this_genre | m.04m_s8m | Wagner | The Bayreuth Festival celebrates the music of which composer? | Wagner
music | music | m.04rlf | film.film_genre.films_in_this_genre | m.063lyry | Sting | In music, how is Gordon Sumner better known? | Sting
music | music | m.04rlf | film.film_genre.films_in_this_genre | m.0b6zwz2 | Don Quixote | Which of these ballets did Tchaikovsky not compose the music for? | Don Quixote
music | music | m.04rlf | media_common.literary_genre.books_in_this_genre | m.04wfd7g | David Bowie | In music, who has sometimes been called the `thin white duke`? | David Bowie
Music of My Heart | music of my heart | m.03jkznw | music.album.artist | m.01w58n3 | Gloria Estefan | Who did Nsync team up with in 1999 to release “Music of My Heart”? | Gloria Estefan
Music of My Heart | music of my heart | m.0mkw2d | music.recording.artist | m.01w58n3 | Gloria Estefan | Who did Nsync team up with in 1999 to release “Music of My Heart”? | Gloria Estefan
Mwai Kibaki | mwai kibaki | m.015pz3 | people.person.nationality | m.019rg5 | Kenya | Mwai Kibaki became President of which African country in 2002? | Kenya
Myanmar | myanmar | m.01xrrm | language.human_language.main_country | m.04xn_ | Burma | The Republic of the Union of Myanmar is otherwise known by what name? | Burma
Myanmar | myanmar | m.0291fqg | common.image.appears_in_topic_gallery | m.04xn_ | Burma | The Republic of the Union of Myanmar is otherwise known by what name? | Burma
My Boo | my boo | m.017j2wg | music.recording.artist | m.0g824 | Alicia Keys | Who teamed up with Usher to release “My Boo” in 2004? | Alicia Keys
My Boo | my boo | m.0ds_1_j | music.album.artist | m.0g824 | Alicia Keys | Who teamed up with Usher to release “My Boo” in 2004? | Alicia Keys
My Boo | my boo | m.0fhy97 | music.composition.composer | m.0g824 | Alicia Keys | Who teamed up with Usher to release “My Boo” in 2004? | Alicia Keys
My Boo | my boo | m.0n1yw45 | music.music_video.artist | m.0g824 | Alicia Keys | Who teamed up with Usher to release “My Boo” in 2004? | Alicia Keys
My Boo | my boo | m.0rg8hng | music.recording.featured_artists | m.0g824 | Alicia Keys | Who teamed up with Usher to release “My Boo” in 2004? | Alicia Keys
My Fair Lady | my fair lady | m.04t29 | media_common.adaptation.adapted_from | m.062h0v | Pygmalion | The 1964 film ‘My Fair Lady’ is based on which play by George Bernard Shaw? | Pygmalion
My Fair Lady | my fair lady | m.04t29 | theater.play.characters | m.02nwl4p | Eliza Doolittle | What was the name of Audrey Hepburn`s character in the 1964 film `My Fair Lady`? | Eliza Doolittle
My Fair Lady | my fair lady | m.0cq7kw | film.film.story_by | m.03cdg | George Bernard Shaw | The 1964 film `My Fair Lady` was based on a play by who? | George Bernard Shaw
My First Kiss | my first kiss | m.0fqs5tp | music.recording.featured_artists | m.05mt7ny | Kesha | Which female singer featured on the 3OH!3 hit “My First Kiss”? | Kesha
My First Kiss | my first kiss | m.0frt4m0 | music.album.featured_artists | m.05mt7ny | Kesha | Which female singer featured on the 3OH!3 hit “My First Kiss”? | Kesha
My First Kiss | my first kiss | m.0fv50gj | music.recording.artist | m.05mt7ny | Kesha | Which female singer featured on the 3OH!3 hit “My First Kiss”? | Kesha
My First Kiss | my first kiss | m.0n42nxh | music.music_video.artist | m.05mt7ny | Kesha | Which female singer featured on the 3OH!3 hit “My First Kiss”? | Kesha
My Heart Will Go On | my heart will go on | m.014q_tr | music.recording.artist | m.01cwhp | Celine Dion | Who won the 1998 Grammy Award for Record of the Year with the song “My Heart Will Go On” Mariah Carey, Madonna, Celine Dion, Shania Twain | Celine Dion
My Heart Will Go On | my heart will go on | m.01fscz8 | music.album.artist | m.01cwhp | Celine Dion | Who won the 1998 Grammy Award for Record of the Year with the song “My Heart Will Go On” Mariah Carey, Madonna, Celine Dion, Shania Twain | Celine Dion
My Heart Will Go On | my heart will go on | m.03q8sx | film.film_featured_song.performed_by | m.01cwhp | Celine Dion | Who won the 1998 Grammy Award for Record of the Year with the song “My Heart Will Go On” Mariah Carey, Madonna, Celine Dion, Shania Twain | Celine Dion
My Heart Will Go On | my heart will go on | m.0n22cll | music.music_video.artist | m.01cwhp | Celine Dion | Who won the 1998 Grammy Award for Record of the Year with the song “My Heart Will Go On” Mariah Carey, Madonna, Celine Dion, Shania Twain | Celine Dion
My Kind of Town | my kind of town | m.01c2cnj | music.recording.releases | m.031pnn_ | Robin and the 7 Hoods | In what movie did Sinatra sing My Kind of Town | Robin and the 7 Hoods
My Kind of Town | my kind of town | m.0ktg4xp | music.release_track.release | m.031pnn_ | Robin and the 7 Hoods | In what movie did Sinatra sing My Kind of Town | Robin and the 7 Hoods
My Life Would Suck Without You | my life would suck without you | m.0fxldwg | music.album.artist | m.025ldg | Kelly Clarkson | Which singer released “My Life Would Suck Without You” in 2009? | Kelly Clarkson
My Life Would Suck Without You | my life would suck without you | m.0gf079n | music.recording.artist | m.025ldg | Kelly Clarkson | Which singer released “My Life Would Suck Without You” in 2009? | Kelly Clarkson
My Life Would Suck Without You | my life would suck without you | m.0l_yzy3 | music.music_video.artist | m.025ldg | Kelly Clarkson | Which singer released “My Life Would Suck Without You” in 2009? | Kelly Clarkson
My Love is Your Love | my love is your love | m.01hqf02 | music.album.artist | m.086qd | Whitney Houston | My Love is Your Love was a 2000 hit for which popstar? | Whitney Houston
My Love is Your Love | my love is your love | m.0nb99lc | music.recording.artist | m.086qd | Whitney Houston | My Love is Your Love was a 2000 hit for which popstar? | Whitney Houston
Mylo Xyloto | mylo xyloto | m.0ch5ft5 | music.album.artist | m.0kr_t | Coldplay | Mylo Xyloto was a 2012 hit album for which band? | Coldplay
Mylo Xyloto | mylo xyloto | m.0n9z93v | music.composition.composer | m.024dgj | Coldplay | Mylo Xyloto was a 2012 hit album for which band? | Coldplay
Mylo Xyloto | mylo xyloto | m.0nmnb0d | music.recording.artist | m.0kr_t | Coldplay | Mylo Xyloto was a 2012 hit album for which band? | Coldplay
Mylo Xyloto | mylo xyloto | m.0wkj980 | comic_books.comic_book_series.created_by | m.024dgj | Coldplay | Mylo Xyloto was a 2012 hit album for which band? | Coldplay
My Name Is Earl | my name is earl | m.05dqqmw | tv.tv_series_season.episodes | m.0260_tr | Van Hickey | What is the name of Earl’s band in the US tv series ‘My Name Is Earl’? | Van Hickey
My Name Is Earl | my name is earl | m.077xn2 | tv.tv_program.episodes | m.0260_tr | Van Hickey | What is the name of Earl’s band in the US tv series ‘My Name Is Earl’? | Van Hickey
My Perogative | my prerogative | m.069kqf | music.composition.composer | m.0133gf | Bobby Brown | Who had a hit in 1988 with `My Perogative`? | Bobby Brown
My Perogative | my prerogative | m.0_hzj9h | music.album.artist | m.0133gf | Bobby Brown | Who had a hit in 1988 with `My Perogative`? | Bobby Brown
My Perogative | my prerogative | m.0n1q_17 | music.music_video.artist | m.0133gf | Bobby Brown | Who had a hit in 1988 with `My Perogative`? | Bobby Brown
My Perogative | my prerogative | m.0y8w6k | music.recording.artist | m.0133gf | Bobby Brown | Who had a hit in 1988 with `My Perogative`? | Bobby Brown
My Sacrifice | my sacrifice | m.0h3grfq | music.album.artist | m.016k3n | Creed | My Sacrifice was a 2002 hit for which band? | Creed
My Sacrifice | my sacrifice | m.0m1w3r8 | music.music_video.artist | m.016k3n | Creed | My Sacrifice was a 2002 hit for which band? | Creed
My Sacrifice | my sacrifice | m.0mplgx | music.recording.artist | m.016k3n | Creed | My Sacrifice was a 2002 hit for which band? | Creed
Mysterious Affair At Styles | the mysterious affair at styles | m.01g097 | book.book.characters | m.0ljm | Hercule Poirot | Agatha Christie`s novel `The Mysterious Affair At Styles` introduced which famous detective? | Hercule Poirot
Mysterious Affair at Styles | the mysterious affair at styles | m.01g097 | book.written_work.author | m.0ldd | Agatha Christie | Which crime writer’s first published novel is entitled ‘The Mysterious Affair at Styles’? | Agatha Christie
Mysterious Affair at Styles | the mysterious affair at styles | m.04tsxz5 | book.book_edition.author_editor | m.0ldd | Agatha Christie | Which crime writer’s first published novel is entitled ‘The Mysterious Affair at Styles’? | Agatha Christie
my struggle | my struggle | m.0c742__ | book.book_edition.book | m.04z1z | Mein Kampf | What book translates as My Struggle | Mein Kampf
mythology | mythology | m.0x5fvd5 | music.release.region | m.03_3d | Japan | The Kirin is a supernatural spirit in the mythology of which country? | Japan
Myths of the Near Future | myths of the near future | m.03g711w | music.album.artist | m.01snrhw | The Klaxons | Which band released a 2007 album entitled ‘Myths of the Near Future’? | The Klaxons
My way | my way | m.011ns6wy | music.album.artist | m.0pmgz | Paul Anka | Who wrote the words to Frank Sinatra`s hit `My way`? | Paul Anka
My Way | my way | m.0121f0f | music.recording.releases | m.034j9ql | Frank Sinatra | Strangers In The Night and My Way were notable hits from whom? | Frank Sinatra
My Way | my way | m.01hb2g0 | music.album.artist | m.02_fj | Frank Sinatra | Strangers In The Night and My Way were notable hits from whom? | Frank Sinatra
My way | my way | m.03985n | music.composition.composer | m.0pmgz | Paul Anka | Who wrote the words to Frank Sinatra`s hit `My way`? | Paul Anka
My way | my way | m.03985n | music.composition.lyricist | m.0pmgz | Paul Anka | Who wrote the words to Frank Sinatra`s hit `My way`? | Paul Anka
My way | my way | m.0g85vhh | music.recording.featured_artists | m.0pmgz | Paul Anka | Who wrote the words to Frank Sinatra`s hit `My way`? | Paul Anka
My Way | my way | m.0l5mmcp | music.release_track.release | m.034j9ql | Frank Sinatra | Strangers In The Night and My Way were notable hits from whom? | Frank Sinatra
My way | my way | m.0sgjslq | music.recording.artist | m.0pmgz | Paul Anka | Who wrote the words to Frank Sinatra`s hit `My way`? | Paul Anka
My Way | my way | m.0sxnl2 | music.recording.artist | m.02_fj | Frank Sinatra | Strangers In The Night and My Way were notable hits from whom? | Frank Sinatra
My World 2.0 | my world 2.0 | m.09v5jdw | music.album.artist | m.06w2sn5 | Justin Bieber | My World 2.0 was a 2010 album from which superstar? | Justin Bieber
N2O | nitrous oxide | m.09bml | medicine.drug.active_moieties | m.09bml | Laughing gas | N2O is more commonly known as what | Laughing gas
N2O | nitrous oxide | m.09bml | medicine.drug_ingredient.active_moiety_of_drug | m.09bml | Laughing gas | N2O is more commonly known as what | Laughing gas
N2O | nitrous oxide | m.0bpbqxd | base.skosbase.skos_concept.equivalent_topic | m.09bml | Laughing gas | N2O is more commonly known as what | Laughing gas
Nairobi | nairobi | m.0263mmm | base.aareas.schema.administrative_area.administrative_parent | m.019rg5 | Kenya | Nairobi is the capital city of which African country? | Kenya
Nairobi | nairobi | m.0263mmm | location.administrative_division.country | m.019rg5 | Kenya | Nairobi is the capital city of which African country? | Kenya
Nairobi | nairobi | m.0263mmm | location.location.containedby | m.019rg5 | Kenya | Nairobi is the capital city of which African country? | Kenya
Nairobi | nairobi | m.05d49 | base.biblioness.bibs_location.country | m.019rg5 | Kenya | Nairobi is the capital city of which African country? | Kenya
Naked and the Dead | the naked and the dead | m.03hdll | book.written_work.author | m.019z7q | Norman Mailer | Which US author wrote ‘The Naked and the Dead’, based on his military service in World War II? | Norman Mailer
Naked and the Dead | the naked and the dead | m.04vfm06 | book.book_edition.author_editor | m.019z7q | Norman Mailer | Which US author wrote ‘The Naked and the Dead’, based on his military service in World War II? | Norman Mailer
Naked and the Dead | the naked and the dead | m.05p65p4 | film.film.story_by | m.019z7q | Norman Mailer | Which US author wrote ‘The Naked and the Dead’, based on his military service in World War II? | Norman Mailer
Naked Ape | the naked ape | m.04vgf55 | book.book_edition.author_editor | m.028wm | Desmond Morris | Who wrote the book `The Naked Ape`? | Desmond Morris
Naked Ape | the naked ape | m.0blr__ | book.written_work.author | m.028wm | Desmond Morris | Who wrote the book `The Naked Ape`? | Desmond Morris
Naked Chef | the naked chef | m.01myph | common.topic.image | m.04qx34w | Jamie Oliver | On TV what is the real name of the `Naked Chef`? | Jamie Oliver
Naked Chef | the naked chef | m.04t57dp | book.written_work.author | m.01myph | Jamie Oliver | On TV what is the real name of the `Naked Chef`? | Jamie Oliver
Naked Civil Servant | the naked civil servant | m.05n_ytl | book.written_work.author | m.0mq4q | Quentin Crisp | Who’s autobiography is entitled ‘The Naked Civil Servant’? | Quentin Crisp
Naked Lunch | naked lunch | m.01n8y8 | book.written_work.author | m.08433 | William Burroughs | Who wrote the novel `Naked Lunch`? | William Burroughs
Naked Lunch | naked lunch | m.01srq2 | film.film.story_by | m.08433 | William Burroughs | Who wrote the novel `Naked Lunch`? | William Burroughs
Naked Lunch | naked lunch | m.04t_s76 | book.book_edition.author_editor | m.08433 | William Burroughs | Who wrote the novel `Naked Lunch`? | William Burroughs
na | na | m.025sf0_ | medicine.drug.active_moieties | m.025sf0_ | Sodium | What chemical element has the symbol Na? | Sodium
na | na | m.025sf0_ | medicine.drug.active_moieties | m.025sf0_ | Sodium | What does ‘Na’ represent in the periodic table? | Sodium
na | na | m.025sf0_ | medicine.drug_ingredient.active_moiety_of_drug | m.025sf0_ | Sodium | What chemical element has the symbol Na? | Sodium
na | na | m.025sf0_ | medicine.drug_ingredient.active_moiety_of_drug | m.025sf0_ | Sodium | What does ‘Na’ represent in the periodic table? | Sodium
na | na | m.025sf0_ | user.mt.default_domain.metabolite.chemical_species | m.02kcq1_ | Sodium | What chemical element has the symbol Na? | Sodium
na | na | m.025sf0_ | user.mt.default_domain.metabolite.chemical_species | m.02kcq1_ | Sodium | What does ‘Na’ represent in the periodic table? | Sodium
Nancy Hanks | nancy lincoln | m.06c1y5 | people.person.children | m.0gzh | Abraham Lincoln | Nancy Hanks was the mother of which US President? | Abraham Lincoln
Napier University | edinburgh napier university | m.034_6b | location.location.containedby | m.02m77 | Edinburgh | Napier University is in which British city? | Edinburgh
Napoleonic | napoleon | m.0j5b8 | film.film_subject.films | m.0gjbklc | Waterloo | What was the final battle of the Napoleonic Wars? | Waterloo
Napoleonic Wars | napoleonic wars | m.0cbvg | book.book_subject.works | m.04w9wrz | Waterloo | What was the final battle of the Napoleonic Wars? | Waterloo
Napoleonic Wars | napoleonic wars | m.0cbvg | film.film_subject.films | m.083fl | Waterloo | What was the final battle of the Napoleonic Wars? | Waterloo
Napoleon | napoleon | m.03psl3 | book.book_character.appears_in_book | m.0hhy | Animal Farm | Napoleon and Snowball appear in which 1945 novel? | Animal Farm
Napoleon | napoleon | m.04j2zzw | film.film.country | m.0chghy | Australia | Which country did the French know as Terra Napoleon | Australia
Napoleon | napoleon | m.0j5b8 | book.book_subject.musical_compositions_about_this_topic | m.08qkgkd | Josephine | What was the name of Napoleon`s first wife? | Josephine
Narnia? series | the chronicles of narnia | m.0639bg | media_common.adaptation.adapted_from | m.01k43v | The Lion, The Witch and The Wardrobe | What is the title of the first novel to be published in the ‘Chronicles of Narnia’ series by C S Lewis? | The Lion, The Witch and The Wardrobe
